Category,Product Name,Slug (/product/...),Price,Tag,Image File,Website Path,Local Folder Path,Verified?,Notes
Jewelry,24k Gold Tree of Life Pendant,tree-of-life-pendant,1800,24K Gold,tree-of-life-01.png,https://flight-tribe-site.vercel.app/assets/products/real/tree-of-life-01.png,Flight Tribe/flight-tribe-site/public/assets/products/real/tree-of-life-01.png,,
Jewelry,24k Gold Tree of Life Pendant,tree-of-life-pendant,1800,24K Gold,tree-of-life-02.png,https://flight-tribe-site.vercel.app/assets/products/real/tree-of-life-02.png,Flight Tribe/flight-tribe-site/public/assets/products/real/tree-of-life-02.png,,
Jewelry,Heavy Solid Silver Arrowhead Pendant,arrowhead-pendant,500,Hand-forged,arrowhead-01.png,https://flight-tribe-site.vercel.app/assets/products/real/arrowhead-01.png,Flight Tribe/flight-tribe-site/public/assets/products/real/arrowhead-01.png,,
Jewelry,Heavy Solid Silver Arrowhead Pendant,arrowhead-pendant,500,Hand-forged,arrowhead-02.png,https://flight-tribe-site.vercel.app/assets/products/real/arrowhead-02.png,Flight Tribe/flight-tribe-site/public/assets/products/real/arrowhead-02.png,,
Jewelry,Flight Tribe Pilot Pin,pilot-pin,500,Wings,pilot-pin-01.png,https://flight-tribe-site.vercel.app/assets/products/real/pilot-pin-01.png,Flight Tribe/flight-tribe-site/public/assets/products/real/pilot-pin-01.png,,
Jewelry,Winged Heart Pendant,winged-heart-pendant,2500,Signature,heart-01.png,https://flight-tribe-site.vercel.app/assets/products/real/heart-01.png,Flight Tribe/flight-tribe-site/public/assets/products/real/heart-01.png,,
Jewelry,Winged Heart Pendant,winged-heart-pendant,2500,Signature,heart-02.png,https://flight-tribe-site.vercel.app/assets/products/real/heart-02.png,Flight Tribe/flight-tribe-site/public/assets/products/real/heart-02.png,,
Accessories,Flight Tribe 250th Liberty Gemstone Artifact Dice,liberty-250th-dice,2500,Limited · 250th,liberty-dice-01.png,https://flight-tribe-site.vercel.app/assets/products/real/liberty-dice-01.png,Flight Tribe/flight-tribe-site/public/assets/products/real/liberty-dice-01.png,,
Accessories,Flight Tribe 250th Liberty Gemstone Artifact Dice,liberty-250th-dice,2500,Limited · 250th,liberty-dice-02.png,https://flight-tribe-site.vercel.app/assets/products/real/liberty-dice-02.png,Flight Tribe/flight-tribe-site/public/assets/products/real/liberty-dice-02.png,,
Accessories,Flight Tribe Ruby Relic Dice,ruby-relic-dice,2000,Icon · hero product,ruby-dice-01.png,https://flight-tribe-site.vercel.app/assets/products/real/ruby-dice-01.png,Flight Tribe/flight-tribe-site/public/assets/products/real/ruby-dice-01.png,,Linked from the homepage hero video/CTA.
Accessories,Flight Tribe Ruby Relic Dice,ruby-relic-dice,2000,Icon · hero product,ruby-dice-02.png,https://flight-tribe-site.vercel.app/assets/products/real/ruby-dice-02.png,Flight Tribe/flight-tribe-site/public/assets/products/real/ruby-dice-02.png,,
Accessories,IceMan US Mined Montana Blue Sapphire Artifact Dice,iceman-sapphire-dice,6000,Rare,bundle-01.png,https://flight-tribe-site.vercel.app/assets/products/real/bundle-01.png,Flight Tribe/flight-tribe-site/public/assets/products/real/bundle-01.png,,"FLAG: Drive's file named ""IceMan...Dice"" is actually a different piece (a wings/eye tag), not a die — not used. Using the 3-dice group shot instead (it does show an ""IceMan""-inscribed die, but is not a clean solo photo). Ask client for the real single-item shot."
Accessories,IceMan US Mined Montana Blue Sapphire Artifact Dice,iceman-sapphire-dice,6000,Rare,bundle-02.png,https://flight-tribe-site.vercel.app/assets/products/real/bundle-02.png,Flight Tribe/flight-tribe-site/public/assets/products/real/bundle-02.png,,
Accessories,The Flight Tribe Artifact Dice Collection,artifact-dice-collection,9250,Collector Set,bundle-01.png,https://flight-tribe-site.vercel.app/assets/products/real/bundle-01.png,Flight Tribe/flight-tribe-site/public/assets/products/real/bundle-01.png,,"Shares its photo with IceMan Sapphire Dice above (same 2 files) — correct for this bundle listing, flagged so it isn't mistaken for an error."
Accessories,The Flight Tribe Artifact Dice Collection,artifact-dice-collection,9250,Collector Set,bundle-02.png,https://flight-tribe-site.vercel.app/assets/products/real/bundle-02.png,Flight Tribe/flight-tribe-site/public/assets/products/real/bundle-02.png,,
Accessories,Solid Silver Paper Weight Pipe,paperweight-pipe,2500,Hand-hammered,pipe-01.png,https://flight-tribe-site.vercel.app/assets/products/real/pipe-01.png,Flight Tribe/flight-tribe-site/public/assets/products/real/pipe-01.png,,
Accessories,Solid Silver Paper Weight Pipe,paperweight-pipe,2500,Hand-hammered,pipe-02.png,https://flight-tribe-site.vercel.app/assets/products/real/pipe-02.png,Flight Tribe/flight-tribe-site/public/assets/products/real/pipe-02.png,,
Clothing,Flight Tribe 100% Hemp Bandana,hemp-bandana,888,Bulk order only,hemp-01.png,https://flight-tribe-site.vercel.app/assets/products/real/hemp-01.png,Flight Tribe/flight-tribe-site/public/assets/products/real/hemp-01.png,,
Clothing,Flight Tribe 100% Hemp Bandana,hemp-bandana,888,Bulk order only,hemp-02.png,https://flight-tribe-site.vercel.app/assets/products/real/hemp-02.png,Flight Tribe/flight-tribe-site/public/assets/products/real/hemp-02.png,,
Clothing,Flight Tribe 100% Mulberry Silk Bandana,silk-bandana,88,Bulk order only,silk-01.jpg,https://flight-tribe-site.vercel.app/assets/products/real/silk-01.jpg,Flight Tribe/flight-tribe-site/public/assets/products/real/silk-01.jpg,,
Clothing,Flight Tribe 100% Mulberry Silk Bandana,silk-bandana,88,Bulk order only,silk-02.png,https://flight-tribe-site.vercel.app/assets/products/real/silk-02.png,Flight Tribe/flight-tribe-site/public/assets/products/real/silk-02.png,,
