Product SKU,Product Name,Category,Slug (/product/...),"Price (Site, INR/num)","Price (Catalog, as listed)",Cost (Optional),Tag,Gender,Collection,Inventory,Taxable?,Product Weight,Product Height,Variants (If Any Exist),Variant Values (If Variants Exist),Product Description,Image Count,Image 1 File,Image 1 Website URL,Image 1 Local Folder Path,Image 2 File,Image 2 Website URL,Image 2 Local Folder Path,Verified?,Notes / Flags,Source Check
FT P  24K TOL 004,24k Gold Tree of Life Pendant,Jewelry,tree-of-life-pendant,"1,800","$1,800","$1,000",24K Gold,Unisex,Flight Tribe 2026 Collection,1,yes,6.39grams 24k Gold,23/32 inch H 22/32 W,na,na,"Crafted from solid 24k gold, the Flight Tribe Tree of Life Pendant is inspired by one of humanity's oldest and most enduring symbols. Across civilizations, the Tree of Life has been revered as the bridge between earth and sky, the seen and the unseen, the roots of the past and the paths yet to be traveled. Precision crafted and polished to a radiant finish, each pendant is a timeless artifact created for those drawn to mystery, legacy, and the pursuit of something greater.",2,tree-of-life-01.png,https://flight-tribe-site.vercel.app/assets/products/real/tree-of-life-01.png,Flight Tribe/flight-tribe-site/public/assets/products/real/tree-of-life-01.png,tree-of-life-02.png,https://flight-tribe-site.vercel.app/assets/products/real/tree-of-life-02.png,Flight Tribe/flight-tribe-site/public/assets/products/real/tree-of-life-02.png,,,Both files
FT P  .925 AH 005,Heavy Solid Silver Arrowhead Pendant,Jewelry,arrowhead-pendant,500,$500,$250,Hand-forged,Men,Flight Tribe 2026 Collection,1,yes,61.08gram .925 Silver,H 3 31/32 inch  L 1 1/8 inch    W 1/8 inch,"24k , 22k,  18k, Gold","24k -$15,000, -  22k,$14,300 -  18k,$11,111  Gold","Crafted from solid .925 sterling silver, the Flight Tribe Heavy Arrowhead Pendant is forged as a symbol of instinct, direction, and the courage to move forward. Since ancient times, the arrowhead has represented the hunter, the protector, and the traveler those who trusted their path when none existed. Precision crafted with a substantial weight and mirror-polished finish, each pendant is a timeless artifact for those who carve their own course and never look back.",2,arrowhead-01.png,https://flight-tribe-site.vercel.app/assets/products/real/arrowhead-01.png,Flight Tribe/flight-tribe-site/public/assets/products/real/arrowhead-01.png,arrowhead-02.png,https://flight-tribe-site.vercel.app/assets/products/real/arrowhead-02.png,Flight Tribe/flight-tribe-site/public/assets/products/real/arrowhead-02.png,,,Both files
FT Pin .925 PP 007,Flight Tribe Pilot Pin,Jewelry,pilot-pin,500,$500,,Wings,Unisex,Flight Tribe 2026 Collection,,,,,24k,24 k,"Crafted from solid .925 sterling silver, the Flight Tribe Eagle Pilot Pin is inspired by the eagle an enduring guardian of the skies and a messenger between earth and the heavens in many cultural traditions. Worn as a symbol of vision, freedom, and fearless ascent, it honors those who trust their instincts and follow the call beyond the horizon. Precision crafted and mirror polished, each pin is a modern talisman for those born to fly their own path.",1,pilot-pin-01.png,https://flight-tribe-site.vercel.app/assets/products/real/pilot-pin-01.png,Flight Tribe/flight-tribe-site/public/assets/products/real/pilot-pin-01.png,,,,,,Both files
FT P .925 HeartP 009,Winged Heart Pendant,Jewelry,winged-heart-pendant,"2,500","$2,500","$1,400",Signature,Womens,Flight Tribe 2026 Collection,on bench,yes,on bench,,"24k , 22k,  18k, Gold  any gemstone  ask us","$2,000-$100,000","Crafted from solid .925 sterling silver, the Flight Tribe Winged Heart Pendant features a brilliant center gemstone embraced by soaring wings. A symbol of love in motion, it represents hearts that refuse to be grounded love that crosses oceans, survives distance, and rises above every obstacle. Precision-crafted and mirror polished, each pendant is a modern talisman for kindred spirits, fearless hearts, and those who believe the greatest journey is the one shared with another. Available with premium lab-grown or natural gemstones upon request.",2,heart-01.png,https://flight-tribe-site.vercel.app/assets/products/real/heart-01.png,Flight Tribe/flight-tribe-site/public/assets/products/real/heart-01.png,heart-02.png,https://flight-tribe-site.vercel.app/assets/products/real/heart-02.png,Flight Tribe/flight-tribe-site/public/assets/products/real/heart-02.png,,,Both files
FT D .925 L250th GD 001,Flight Tribe 250th Liberty Gemstone Artifact Dice,Accessories,liberty-250th-dice,"2,500","$2,500","$1,250",Limited · 250th,Unisex,Flight Tribe 2026 Collection,1,Yes,35.24 gram   .925 Silver and gemstones,7/16 inch HxW,"any real 2.5mmgemstones or 24k , 22k,  18k, Gold","24k -$14,000, 22k$12,000,  18k $10,000 Gold","Crafted from solid .925 sterling silver, the Flight Tribe Liberty 250™ Artifact Dice feature hand-set with lab red rubies,  lab white diamonds, and lab blue sapphires to honor the colors of the American flag and celebrate 250 years of American independence. Precision crafted and mirror polished, each collectible is a timeless symbol of freedom, craftsmanship, and adventure. Available with premium lab grown gemstones or natural gemstones upon request.",2,liberty-dice-01.png,https://flight-tribe-site.vercel.app/assets/products/real/liberty-dice-01.png,Flight Tribe/flight-tribe-site/public/assets/products/real/liberty-dice-01.png,liberty-dice-02.png,https://flight-tribe-site.vercel.app/assets/products/real/liberty-dice-02.png,Flight Tribe/flight-tribe-site/public/assets/products/real/liberty-dice-02.png,,,Both files
FT D  .925 RRD 002,Flight Tribe Ruby Relic Dice,Accessories,ruby-relic-dice,"2,000","$2,000",$900,Icon · hero product,Unisex,Flight Tribe 2026 Collection,1,Yes,35.24 gram   .925 Silver and gemstones,7/16 inch HxW,"any real 2.5mm gemstones or 24k , 22k,  18k, Gold","24k -$14,000, 22k$12,000,  18k $10,000 Gold","Crafted from solid .925 sterling silver, the Flight Tribe Red Ruby Relic Dice Collection is hand-set with vibrant lab grown red rubies, long revered as gemstones of passion, courage, vitality, and protection. Throughout history, rubies have been treasured by kings, warriors, and travelers as symbols of strength and fearless ambition. Precision crafted and mirror polished, each collectible is a timeless statement of luxury, craftsmanship, and individuality. Available with premium lab grown rubies as standard, or natural rubies upon request.",2,ruby-dice-01.png,https://flight-tribe-site.vercel.app/assets/products/real/ruby-dice-01.png,Flight Tribe/flight-tribe-site/public/assets/products/real/ruby-dice-01.png,ruby-dice-02.png,https://flight-tribe-site.vercel.app/assets/products/real/ruby-dice-02.png,Flight Tribe/flight-tribe-site/public/assets/products/real/ruby-dice-02.png,,Linked from the homepage hero video/CTA.,Both files
FT D .925 U.S M MBSD 003,IceMan US Mined Montana Blue Sapphire Artifact Dice,Accessories,iceman-sapphire-dice,"6,000","$6,000","$2,000",Rare,Unisex,Flight Tribe 2026 Collection,1,yes,35.24 gram   .925 Silver and gemstones,7/16 inch HxW,"any real 2.5mmgemstones or 24k , 22k,  18k, Gold","24k -$14,000, 22k$12,000,  18k $10,000 Gold","Crafted from solid .925 sterling silver, the Flight Tribe IceMan U.S. Mined Montana Blue Sapphire Artifact Dice Collection is hand-set with authentic Montana blue sapphires, responsibly sourced from the rugged landscapes of Big Sky Country. Forged beneath endless skies and shaped by the untamed American West, these rare sapphires embody clarity, resilience, freedom, and the courage to forge your own path. Their naturally shifting shades of blue reflect the mountain lakes and open skies that inspired generations of explorers and aviators. Precision crafted and mirror polished, each collectible is a timeless expression of luxury, heritage, and the Flight Tribe spirit of adventure.",2,bundle-01.png,https://flight-tribe-site.vercel.app/assets/products/real/bundle-01.png,Flight Tribe/flight-tribe-site/public/assets/products/real/bundle-01.png,bundle-02.png,https://flight-tribe-site.vercel.app/assets/products/real/bundle-02.png,Flight Tribe/flight-tribe-site/public/assets/products/real/bundle-02.png,,"FLAG: Drive's file named ""IceMan...Dice"" is actually a different piece (a wings/eye tag), not a die — not used. Using the 3-dice group shot instead (it does show an ""IceMan""-inscribed die, but is not a clean solo photo). Ask client for the real single-item shot.",Both files
FT DDD GDRDSD  008,The Flight Tribe Artifact Dice Collection,Accessories,artifact-dice-collection,"9,250","$9,250","$4,250",Collector Set,unisex,Flight Tribe 2026 Collection,1,yes,35.24 gram   .925 Silver and gemstones  3 sets,7/16 inch HxW,Na,Na,"The Flight Tribe Artifact Dice Collection

The Flight Tribe Artifact Dice Collection brings together three signature relics, each forged from solid .925 sterling silver and inspired by a different path of the journey. From the patriotic spirit of the Liberty 250™ Gemstone Artifact Dice, to the legendary power of the Ruby Relic Dice, and the untamed frontier captured in the IceMan U.S. Mined Montana Blue Sapphire Artifact Dice, every piece is crafted as a modern heirloom.

Across cultures, dice have symbolized fate, destiny, and the unknown reminders that every journey begins with a single choice. Hand-finished and created in limited numbers, each Artifact Die is more than a collectible; it is a talisman for those who trust instinct, embrace adventure, and forge their own path.",2,bundle-01.png,https://flight-tribe-site.vercel.app/assets/products/real/bundle-01.png,Flight Tribe/flight-tribe-site/public/assets/products/real/bundle-01.png,bundle-02.png,https://flight-tribe-site.vercel.app/assets/products/real/bundle-02.png,Flight Tribe/flight-tribe-site/public/assets/products/real/bundle-02.png,,"Shares its photo with IceMan Sapphire Dice above (same 2 files) — correct for this bundle listing, flagged so it isn't mistaken for an error.",Both files
FT PW .925 TPW 006,Solid Silver Paper Weight Pipe,Accessories,paperweight-pipe,"2,500","$2,500","$1,200",Hand-hammered,Unisex,Flight Tribe 2026 Collection,1,yes,87.06gram .925 Silver,H 1 6/32 inch L 3 1/2 inch W 1/2 inch,"24k , 22k,  18k, Gold","24k $20,000  -  22k $18,000","Crafted from solid .925 sterling silver, the Flight Tribe Heavy Paperweight Pipe is inspired by ancient ceremonies where smoke carried prayers, intentions, and stories into the unseen. Precision machined with a substantial weight and mirror-polished finish, each piece is a modern relic created for those who walk their own path and honor the spirit of the journey.",2,pipe-01.png,https://flight-tribe-site.vercel.app/assets/products/real/pipe-01.png,Flight Tribe/flight-tribe-site/public/assets/products/real/pipe-01.png,pipe-02.png,https://flight-tribe-site.vercel.app/assets/products/real/pipe-02.png,Flight Tribe/flight-tribe-site/public/assets/products/real/pipe-02.png,,,Both files
FT Hemp Bandana 010,Flight Tribe 100% Hemp Bandana,Clothing,hemp-bandana,888,$888,,Bulk order only,Unisex,Flight Tribe 2026 Collection,2,yes,1lb,22 inches × 22 inches,,,"Constructed from 100% premium Hemp fabric in Qingdao, China, at a GOTS-certified facility, delivering a clean, sustainable finish with a distinctly luxurious feel.",2,hemp-01.png,https://flight-tribe-site.vercel.app/assets/products/real/hemp-01.png,Flight Tribe/flight-tribe-site/public/assets/products/real/hemp-01.png,hemp-02.png,https://flight-tribe-site.vercel.app/assets/products/real/hemp-02.png,Flight Tribe/flight-tribe-site/public/assets/products/real/hemp-02.png,,,Both files
